Tense,Person,English,German
Present,I,I wake up,ich wache auf
Present,you (singular),you wake up,du wachst auf
Present,he/she/it,he/she/it wakes up,er/sie/es wacht auf
Present,we,we wake up,wir wachen auf
Present,you (plural),you wake up,ihr wacht auf
Present,they,they wake up,sie wachen auf
PerfectPresent,I,I have woken up,ich bin aufgewacht
PerfectPresent,you (singular),you have woken up,du bist aufgewacht
PerfectPresent,he/she/it,he/she/it has woken up,er/sie/es ist aufgewacht
PerfectPresent,we,we have woken up,wir sind aufgewacht
PerfectPresent,you (plural),you have woken up,ihr seid aufgewacht
PerfectPresent,they,they have woken up,sie sind aufgewacht
Past,I,I woke up,ich wachte auf
Past,you (singular),you woke up,du wachtest auf
Past,he/she/it,he/she/it woke up,er/sie/es wachte auf
Past,we,we woke up,wir wachten auf
Past,you (plural),you woke up,ihr wachtet auf
Past,they,they woke up,sie wachten auf
PerfectPast,I,I had woken up,ich war aufgewacht
PerfectPast,you (singular),you had woken up,du warst aufgewacht
PerfectPast,he/she/it,he/she/it had woken up,er/sie/es war aufgewacht
PerfectPast,we,we had woken up,wir waren aufgewacht
PerfectPast,you (plural),you had woken up,ihr wart aufgewacht
PerfectPast,they,they had woken up,sie waren aufgewacht
Future,I,I will wake up,ich werde aufwachen
Future,you (singular),you will wake up,du wirst aufwachen
Future,he/she/it,he/she/it will wake up,er/sie/es wird aufwachen
Future,we,we will wake up,wir werden aufwachen
Future,you (plural),you will wake up,ihr werdet aufwachen
Future,they,they will wake up,sie werden aufwachen
PerfectFuture,I,I will have woken up,ich werde aufgewacht sein
PerfectFuture,you (singular),you will have woken up,du wirst aufgewacht sein
PerfectFuture,he/she/it,he/she/it will have woken up,er/sie/es wird aufgewacht sein
PerfectFuture,we,we will have woken up,wir werden aufgewacht sein
PerfectFuture,you (plural),you will have woken up,ihr werdet aufgewacht sein
PerfectFuture,they,they will have woken up,sie werden aufgewacht sein
