Tense,Person,English,German
Present,I,I meet,ich treffe
Present,you (singular),you meet,du triffst
Present,he/she/it,he/she/it meets,er/sie/es trifft
Present,we,we meet,wir treffen
Present,you (plural),you meet,ihr trefft
Present,they,they meet,sie treffen
PerfectPresent,I,I have met,ich habe getroffen
PerfectPresent,you (singular),you have met,du hast getroffen
PerfectPresent,he/she/it,he/she/it has met,er/sie/es hat getroffen
PerfectPresent,we,we have met,wir haben getroffen
PerfectPresent,you (plural),you have met,ihr habt getroffen
PerfectPresent,they,they have met,sie haben getroffen
Past,I,I met,ich traf
Past,you (singular),you met,du trafst
Past,he/she/it,he/she/it met,er/sie/es traf
Past,we,we met,wir trafen
Past,you (plural),you met,ihr traft
Past,they,they met,sie trafen
PerfectPast,I,I had met,ich hatte getroffen
PerfectPast,you (singular),you had met,du hattest getroffen
PerfectPast,he/she/it,he/she/it had met,er/sie/es hatte getroffen
PerfectPast,we,we had met,wir hatten getroffen
PerfectPast,you (plural),you had met,ihr hattet getroffen
PerfectPast,they,they had met,sie hatten getroffen
Future,I,I will meet,ich werde treffen
Future,you (singular),you will meet,du wirst treffen
Future,he/she/it,he/she/it will meet,er/sie/es wird treffen
Future,we,we will meet,wir werden treffen
Future,you (plural),you will meet,ihr werdet treffen
Future,they,they will meet,sie werden treffen
PerfectFuture,I,I will have met,ich werde getroffen haben
PerfectFuture,you (singular),you will have met,du wirst getroffen haben
PerfectFuture,he/she/it,he/she/it will have met,er/sie/es wird getroffen haben
PerfectFuture,we,we will have met,wir werden getroffen haben
PerfectFuture,you (plural),you will have met,ihr werdet getroffen haben
PerfectFuture,they,they will have met,sie werden getroffen haben
